2024-12-25T23:47:26.254000Z;6.1;0.9
2025-05-11T16:20:44.112000Z;3.6;8.4
2024-11-08T08:05:54.718000Z;1.5;5.6
2024-11-11T01:44:13.723000Z;8.6;1.5
2025-07-12T23:56:01.035000Z;0.5;7.5
2024-08-31T03:23:29.548000Z;1.9;0.9
2024-04-25T15:56:15.241000Z;6.9;2.4
2025-09-29T01:33:30.534000Z;7.6;10.0
2025-07-29T20:23:51.780000Z;7.0;6.9
2024-03-07T05:49:36.628000Z;8.2;0.5
2025-02-12T18:37:13.671000Z;1.9;1.2
2025-07-17T18:22:26.627000Z;3.3;9.5
2025-03-12T12:02:28.890000Z;7.1;2.5
2024-03-03T22:25:32.632000Z;8.5;0.9
2024-01-01T08:14:21.067000Z;2.5;3.7
2024-02-13T09:11:09.463000Z;8.1;3.4
2024-10-08T02:17:07.545000Z;1.0;3.3
2025-01-12T12:10:16.899000Z;1.5;7.5
2025-07-13T14:42:31.806000Z;6.3;4.3
2025-01-10T06:07:03.201000Z;8.2;5.2
2024-09-15T08:53:33.029000Z;1.9;1.7
2024-12-06T14:49:13.302000Z;4.0;7.3
2025-01-28T20:50:13.764000Z;8.9;5.8
2024-11-22T13:47:11.369000Z;3.9;5.3
2023-12-20T10:26:18.573000Z;3.7;9.1
2025-06-19T03:27:05.663000Z;6.2;3.8
2025-06-06T16:43:14.105000Z;0.7;0.7
2024-01-29T19:17:16.878000Z;3.8;1.9
2025-07-09T15:13:32.180000Z;0.4;2.4
2024-09-02T15:07:32.893000Z;3.4;8.2
2024-02-10T15:20:51.628000Z;2.0;9.6
2023-12-25T09:22:52.412000Z;0.7;4.3
2025-04-04T20:43:59.006000Z;1.6;2.7
2024-05-30T09:09:44.475000Z;6.6;4.5
2024-04-25T03:17:08.190000Z;3.1;8.9
2024-10-15T13:03:52.898000Z;7.5;1.6
2024-04-07T02:41:54.609000Z;1.1;3.4
2025-10-06T07:08:17.438000Z;3.7;0.7
2025-08-27T05:45:14.235000Z;3.0;4.3
2025-03-17T20:05:41.230000Z;7.7;2.1
2025-06-20T08:03:02.839000Z;0.2;1.2
2024-03-03T18:44:34.080000Z;3.0;6.9
2024-04-16T07:19:05.149000Z;1.5;2.1
2025-03-27T07:07:02.801000Z;5.2;6.1
2024-12-18T23:10:08.071000Z;7.9;9.3
2024-03-31T03:57:15.619000Z;4.8;3.6
2025-05-31T05:08:19.394000Z;6.3;6.6
2023-11-09T04:41:48.779000Z;3.2;9.7
2024-07-27T20:17:19.541000Z;2.8;2.2
2024-02-13T10:25:11.509000Z;3.9;6.5
2024-07-22T20:21:43.427000Z;9.7;1.3
2024-03-11T16:35:28.303000Z;7.4;9.4
